               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.019554,            0.051454,           0.0047366,             0.59882,             0.54123,             0.54437,             0.38367,            0.031265,            0.042113,            0.010281,            0.002938,            0.002938,            0.002938
                 109,            0.019621,            0.051348,           0.0041809,             0.59953,             0.53803,             0.54965,             0.39504,            0.030874,            0.043063,            0.010377,            0.002872,            0.002872,            0.002872
                 110,            0.019693,             0.05136,           0.0042446,             0.60287,             0.55538,             0.54133,             0.39139,            0.030832,            0.042527,            0.011689,            0.002806,            0.002806,            0.002806
                 111,            0.019084,            0.049343,            0.004247,             0.56581,             0.53439,             0.55276,               0.401,            0.030709,            0.041663,            0.010493,             0.00274,             0.00274,             0.00274
                 112,            0.019701,              0.0502,           0.0045159,             0.56687,             0.54514,             0.55015,             0.39651,            0.030341,            0.041972,           0.0099325,            0.002674,            0.002674,            0.002674
                 113,            0.019453,            0.050513,            0.004444,             0.57116,             0.52732,              0.5214,             0.37171,            0.030871,            0.042592,            0.010377,            0.002608,            0.002608,            0.002608
                 114,            0.019532,            0.050111,           0.0044537,             0.54847,             0.52512,             0.54395,              0.3981,            0.031288,            0.042389,            0.010881,            0.002542,            0.002542,            0.002542
                 115,            0.019102,            0.049922,            0.004103,             0.54278,             0.53371,              0.5211,             0.37391,            0.031615,            0.043143,            0.011372,            0.002476,            0.002476,            0.002476
                 116,            0.019223,            0.048874,            0.004573,             0.55188,             0.55006,               0.515,              0.3704,            0.031482,            0.042919,            0.010966,             0.00241,             0.00241,             0.00241
                 117,            0.019229,            0.048698,           0.0043987,             0.72142,             0.52083,             0.53946,              0.3937,            0.030638,            0.042489,            0.010686,            0.002344,            0.002344,            0.002344
                 118,            0.018764,            0.048476,           0.0043362,             0.56829,             0.54689,             0.53045,             0.39332,            0.031002,            0.042638,            0.010509,            0.002278,            0.002278,            0.002278
                 119,            0.018597,            0.047514,            0.004115,             0.51019,             0.56486,             0.54316,             0.39363,            0.031045,            0.042813,            0.010454,            0.002212,            0.002212,            0.002212
                 120,            0.018653,            0.049086,           0.0045491,             0.72309,             0.49011,             0.53848,             0.38044,            0.031679,            0.044332,            0.011122,            0.002146,            0.002146,            0.002146
                 121,            0.018664,            0.048314,           0.0040079,              0.5348,             0.55017,             0.53657,             0.37519,            0.030976,            0.043311,            0.010031,             0.00208,             0.00208,             0.00208
                 122,            0.018558,            0.047621,           0.0041039,             0.68749,             0.46779,             0.52608,             0.38466,            0.031569,            0.042771,            0.010242,            0.002014,            0.002014,            0.002014
                 123,            0.018392,            0.048648,           0.0043204,             0.57631,             0.50561,             0.53995,             0.38527,             0.03136,            0.043321,           0.0097902,            0.001948,            0.001948,            0.001948
                 124,            0.018151,            0.047541,           0.0043143,             0.56088,              0.5345,              0.5233,             0.37353,            0.031292,            0.043507,           0.0097333,            0.001882,            0.001882,            0.001882
                 125,            0.018107,            0.048428,           0.0042599,             0.55612,             0.53942,             0.55651,             0.40023,            0.031027,            0.042963,             0.00948,            0.001816,            0.001816,            0.001816
                 126,            0.018247,            0.047795,           0.0041933,             0.57511,             0.52354,             0.54112,             0.39543,            0.031123,            0.042852,            0.010051,             0.00175,             0.00175,             0.00175
                 127,            0.018402,            0.048356,           0.0041643,             0.56384,             0.54672,             0.53527,             0.39414,            0.031242,            0.043429,            0.010327,            0.001684,            0.001684,            0.001684
                 128,            0.018445,            0.048733,            0.004266,             0.57288,             0.52783,             0.52512,             0.37812,            0.030699,            0.043405,            0.010167,            0.001618,            0.001618,            0.001618
                 129,            0.018089,            0.048689,           0.0040998,             0.61704,             0.51756,               0.558,              0.4058,            0.030921,             0.04284,            0.010034,            0.001552,            0.001552,            0.001552
                 130,            0.018111,            0.048121,           0.0042601,             0.57162,             0.56701,             0.54216,             0.38944,            0.031163,            0.043653,           0.0098621,            0.001486,            0.001486,            0.001486
                 131,            0.018145,            0.047436,            0.003721,             0.73562,             0.50914,             0.53409,             0.38295,            0.031186,            0.044287,           0.0096289,             0.00142,             0.00142,             0.00142
                 132,            0.018001,            0.047055,           0.0040943,             0.60419,             0.52833,             0.54227,             0.39091,            0.031022,            0.044016,           0.0094197,            0.001354,            0.001354,            0.001354
                 133,            0.017936,            0.046635,           0.0040212,             0.60424,             0.55135,             0.55784,             0.40493,            0.030979,            0.044778,            0.010279,            0.001288,            0.001288,            0.001288
                 134,            0.017574,             0.04687,           0.0039297,             0.62417,             0.53136,             0.56145,             0.40694,            0.030973,            0.044224,           0.0099736,            0.001222,            0.001222,            0.001222
                 135,            0.017587,            0.047333,            0.003929,             0.63437,             0.52997,             0.56079,              0.4006,            0.031013,            0.043601,            0.010134,            0.001156,            0.001156,            0.001156
                 136,            0.017597,            0.044682,            0.004201,             0.71866,             0.54374,             0.54363,             0.38084,            0.031017,            0.043504,            0.010017,             0.00109,             0.00109,             0.00109
                 137,            0.017436,            0.045802,           0.0038477,              0.7191,              0.5322,             0.56911,             0.41488,            0.031084,            0.043623,            0.009961,            0.001024,            0.001024,            0.001024
                 138,            0.017425,            0.045353,           0.0037119,             0.56141,             0.54646,             0.55723,             0.40426,            0.030911,            0.043893,           0.0092111,            0.000958,            0.000958,            0.000958
                 139,             0.01711,            0.044873,           0.0038501,             0.58057,             0.54784,             0.56674,             0.41653,            0.030875,            0.044262,           0.0096241,            0.000892,            0.000892,            0.000892
                 140,            0.017681,            0.046211,           0.0040513,             0.60871,             0.53477,             0.54629,             0.39183,            0.030926,            0.044008,            0.010084,            0.000826,            0.000826,            0.000826
                 141,            0.017126,            0.045953,           0.0038422,             0.57668,             0.55152,             0.54415,             0.38944,             0.03081,            0.043664,            0.010282,             0.00076,             0.00076,             0.00076
                 142,            0.017374,            0.045688,           0.0040051,              0.5899,             0.52212,             0.55317,             0.41286,            0.030447,            0.043624,            0.010214,            0.000694,            0.000694,            0.000694
                 143,            0.017458,            0.045993,           0.0038114,             0.58903,             0.54025,             0.55709,             0.41153,            0.030544,            0.043854,            0.010262,            0.000628,            0.000628,            0.000628
                 144,            0.017138,            0.043976,            0.003857,             0.60542,             0.52614,             0.56083,             0.40919,            0.030579,            0.043813,            0.010052,            0.000562,            0.000562,            0.000562
                 145,            0.017587,            0.044443,           0.0039515,             0.58191,             0.56481,             0.56131,             0.40866,             0.03086,            0.044222,            0.010443,            0.000496,            0.000496,            0.000496
                 146,            0.017478,            0.046087,           0.0037615,             0.60408,             0.51976,              0.5612,             0.40806,             0.03062,            0.043736,             0.01018,             0.00043,             0.00043,             0.00043
                 147,            0.017297,             0.04579,           0.0037537,              0.6275,             0.50991,              0.5395,             0.38931,            0.030598,            0.043967,            0.010006,            0.000364,            0.000364,            0.000364
                 148,            0.017422,            0.044388,           0.0038512,             0.63412,             0.51889,             0.54499,             0.39514,            0.030593,            0.044016,           0.0099715,            0.000298,            0.000298,            0.000298
                 149,            0.017043,            0.043915,           0.0036053,             0.62806,             0.52351,             0.56777,             0.41219,            0.030709,            0.044189,           0.0099331,            0.000232,            0.000232,            0.000232
