               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.019627,            0.050271,           0.0046351,             0.53527,             0.60492,             0.55674,             0.39937,            0.031597,            0.043222,            0.010041,            0.002674,            0.002674,            0.002674
                 113,             0.01944,            0.050417,           0.0046704,             0.59417,              0.5876,              0.5701,             0.38939,            0.031465,            0.042603,           0.0097736,            0.002608,            0.002608,            0.002608
                 114,            0.019298,            0.049936,           0.0046402,             0.64289,             0.55509,              0.5645,             0.39808,             0.03196,            0.044621,            0.011059,            0.002542,            0.002542,            0.002542
                 115,            0.019063,            0.049839,           0.0042108,             0.59385,              0.4976,              0.5436,             0.38818,              0.0317,            0.043699,            0.010211,            0.002476,            0.002476,            0.002476
                 116,            0.019135,            0.048501,           0.0046829,             0.61063,             0.57377,             0.56992,             0.40009,             0.03148,            0.042674,            0.010576,             0.00241,             0.00241,             0.00241
                 117,            0.019181,            0.048671,           0.0045274,             0.57889,             0.58055,             0.56298,             0.39942,            0.030793,             0.04279,            0.010863,            0.002344,            0.002344,            0.002344
                 118,            0.018685,            0.048391,           0.0045107,             0.61105,              0.5743,             0.56188,              0.4034,            0.031238,            0.043078,            0.010254,            0.002278,            0.002278,            0.002278
                 119,            0.018684,            0.047495,           0.0043462,              0.5748,             0.58234,              0.5512,             0.38125,            0.031256,            0.042471,            0.010098,            0.002212,            0.002212,            0.002212
                 120,            0.018623,             0.04899,           0.0046839,              0.5484,             0.59748,             0.54477,             0.38436,            0.031063,            0.042817,            0.010745,            0.002146,            0.002146,            0.002146
                 121,            0.018621,             0.04835,           0.0042123,             0.53411,             0.51854,             0.51471,             0.35329,            0.030843,            0.043768,            0.010732,             0.00208,             0.00208,             0.00208
                 122,            0.018595,            0.047597,           0.0041876,             0.55545,             0.59321,              0.5461,              0.3856,            0.031621,            0.043405,            0.011587,            0.002014,            0.002014,            0.002014
                 123,            0.018338,             0.04854,           0.0044604,             0.54675,             0.57321,             0.54935,             0.39745,            0.031156,            0.043274,             0.01097,            0.001948,            0.001948,            0.001948
                 124,             0.01814,            0.047426,           0.0044001,             0.56401,             0.56708,             0.55183,             0.39219,            0.031189,            0.042439,            0.010871,            0.001882,            0.001882,            0.001882
                 125,            0.018141,            0.048406,           0.0043882,             0.53273,             0.58354,             0.54046,             0.38686,            0.031224,             0.04234,            0.011347,            0.001816,            0.001816,            0.001816
                 126,            0.018335,            0.048017,           0.0043164,             0.53644,             0.57391,             0.53379,             0.38964,            0.031353,            0.041807,            0.011506,             0.00175,             0.00175,             0.00175
                 127,            0.018482,            0.048486,           0.0043821,             0.56025,             0.58071,              0.5365,             0.39486,            0.031347,            0.042657,            0.011408,            0.001684,            0.001684,            0.001684
                 128,            0.018447,            0.048673,           0.0043908,             0.62106,             0.55911,             0.55472,             0.39889,            0.030881,            0.042514,            0.010471,            0.001618,            0.001618,            0.001618
                 129,            0.018164,            0.048941,           0.0042878,             0.53799,             0.62343,             0.55433,             0.39884,            0.031062,            0.042314,           0.0098616,            0.001552,            0.001552,            0.001552
                 130,            0.018078,            0.048112,           0.0044222,             0.56686,             0.56962,             0.55136,             0.39041,            0.030947,            0.043205,            0.010258,            0.001486,            0.001486,            0.001486
                 131,            0.018105,            0.047464,           0.0038577,             0.61124,             0.55405,             0.54597,             0.38776,            0.031105,            0.043101,            0.010374,             0.00142,             0.00142,             0.00142
                 132,            0.018026,            0.047131,           0.0042104,             0.58256,             0.58092,             0.56451,             0.39806,            0.031293,            0.043833,            0.010264,            0.001354,            0.001354,            0.001354
                 133,            0.017905,            0.046502,            0.004183,             0.58986,             0.58807,             0.57744,             0.40784,            0.031361,            0.044568,            0.010393,            0.001288,            0.001288,            0.001288
                 134,            0.017517,            0.046762,           0.0039778,             0.57655,              0.5755,              0.5689,             0.39829,            0.031391,            0.043573,            0.010214,            0.001222,            0.001222,            0.001222
                 135,            0.017632,            0.047492,           0.0040576,             0.59571,             0.58402,              0.5619,             0.39872,            0.031185,            0.043794,            0.010501,            0.001156,            0.001156,            0.001156
                 136,             0.01763,            0.044609,           0.0043375,             0.61145,              0.5498,             0.56342,             0.40725,             0.03096,            0.043491,            0.010404,             0.00109,             0.00109,             0.00109
                 137,            0.017455,            0.045699,           0.0039521,             0.59723,             0.56108,             0.55386,             0.40214,            0.031273,            0.043635,            0.010251,            0.001024,            0.001024,            0.001024
                 138,            0.017456,            0.045292,           0.0038715,             0.57301,              0.5595,             0.54241,             0.39144,            0.031041,            0.044272,            0.010228,            0.000958,            0.000958,            0.000958
                 139,            0.017171,            0.044811,           0.0038785,             0.59532,             0.57352,             0.56343,             0.40114,            0.031092,            0.044462,            0.010619,            0.000892,            0.000892,            0.000892
                 140,            0.017773,            0.046432,           0.0041478,             0.61637,             0.57437,             0.55475,              0.3961,            0.031053,            0.044266,            0.010946,            0.000826,            0.000826,            0.000826
                 141,            0.017204,            0.046032,           0.0039332,             0.59694,             0.57588,             0.56059,             0.39777,            0.030836,            0.043443,             0.01091,             0.00076,             0.00076,             0.00076
                 142,            0.017292,            0.045787,            0.004151,             0.62031,              0.5741,             0.56352,              0.4035,              0.0309,            0.043599,            0.010895,            0.000694,            0.000694,            0.000694
                 143,            0.017445,            0.045938,           0.0038886,             0.60129,             0.57218,              0.5572,             0.39367,            0.030926,            0.043604,            0.010539,            0.000628,            0.000628,            0.000628
                 144,            0.017198,            0.043946,           0.0041247,             0.61945,             0.57315,             0.56525,             0.40021,            0.031099,            0.044339,            0.010739,            0.000562,            0.000562,            0.000562
                 145,            0.017565,            0.044689,           0.0041611,             0.63497,             0.56745,              0.5703,             0.40824,            0.030911,            0.044048,            0.010788,            0.000496,            0.000496,            0.000496
                 146,            0.017538,            0.046352,           0.0039127,              0.6148,             0.57119,             0.56221,             0.40399,             0.03087,            0.043685,            0.010847,             0.00043,             0.00043,             0.00043
                 147,            0.017324,            0.045959,           0.0039088,             0.61648,             0.56316,              0.5604,             0.40346,            0.030877,            0.044192,            0.010793,            0.000364,            0.000364,            0.000364
                 148,            0.017499,            0.044496,           0.0039504,              0.6158,             0.57438,             0.55693,             0.40484,            0.030853,            0.044365,            0.010777,            0.000298,            0.000298,            0.000298
                 149,            0.017037,            0.043928,            0.003729,             0.62666,             0.56747,             0.56105,              0.4036,            0.030872,            0.044155,            0.010785,            0.000232,            0.000232,            0.000232
